iter	RMSE
0	0.7449363345
1	0.7436478941
2	0.7424287899
3	0.7412629237
4	0.7401591294
5	0.7391015428
6	0.7380874421
7	0.7371109647
8	0.7361936062
9	0.7353015187
10	0.7344373625
11	0.7336215631
12	0.7328549707
13	0.7321016813
14	0.7313938726
15	0.7307227297
16	0.7300997611
17	0.729491807
18	0.7289089636
19	0.7283391357
20	0.7278137487
21	0.727311752
22	0.7268136976
23	0.7263432085
24	0.7259092352
25	0.7254768152
26	0.7250704146
27	0.7246831885
28	0.7243234547
29	0.7239769314
30	0.72363445
31	0.7233152955
32	0.7230117427
33	0.7227254143
34	0.7224461102
35	0.722174583
36	0.7219147256
37	0.7216694114
38	0.7214351171
39	0.7212086773
40	0.7209955517
41	0.7207938443
42	0.7205921962
43	0.7204041419
44	0.7202256329
45	0.7200487499
46	0.7198780708
47	0.719728829
48	0.719581171
49	0.7194509733
50	0.7193177191
51	0.7191841755
52	0.7190569722
53	0.7189400275
54	0.718827201
55	0.7187190556
56	0.7186137963
57	0.7185182104
58	0.7184218915
59	0.7183272671
60	0.7182409215
61	0.718159357
62	0.7180850019
63	0.7180059902
64	0.7179323838
65	0.7178644933
66	0.7177992663
67	0.7177417019
68	0.717679692
69	0.7176228005
70	0.7175681291
71	0.7175125159
72	0.7174640014
73	0.7174110173
74	0.7173636195
75	0.7173208919
76	0.7172748415
77	0.7172325114
78	0.717187344
79	0.7171472933
80	0.7171084325
81	0.71707166
82	0.7170401123
83	0.7170064847
84	0.7169758732
85	0.7169435857
86	0.7169164179
87	0.7168880183
88	0.7168630679
89	0.7168366516
90	0.7168096763
91	0.716785377
92	0.7167606646
93	0.7167384217
94	0.7167161131
95	0.7166964929
96	0.7166812456
97	0.7166610122
98	0.7166448283
99	0.7166281964
100	0.7166108468
101	0.7165977784
102	0.7165791175
103	0.7165652845
104	0.7165522767
105	0.7165369275
106	0.7165212525
107	0.7165095889
108	0.7164971085
109	0.7164827862
110	0.7164711649
111	0.7164555876
112	0.7164468835
113	0.7164374038
114	0.7164283647
115	0.7164156257
116	0.7164027229
117	0.7163921582
118	0.7163805827
119	0.7163728552
120	0.7163629653
121	0.7163514744
122	0.7163411092
123	0.7163335749
124	0.7163243162
125	0.7163164042
126	0.7163094777
127	0.7163023659
128	0.7162970982
129	0.7162915096
130	0.7162852839
131	0.7162792897
132	0.7162729475
133	0.7162658614
134	0.7162589955
135	0.7162564822
136	0.7162516576
137	0.7162439291
138	0.7162397645
139	0.7162331388
140	0.7162285139
141	0.7162214674
142	0.7162154079
143	0.7162095045
144	0.7162040142
145	0.7162006057
146	0.7161959192
147	0.7161904321
148	0.7161858475
149	0.7161822116
150	0.7161776335
151	0.7161743296
152	0.7161684749
153	0.716164776
154	0.7161602095
