iter	Passed	Remaining
0	31	50189
1	79	63313
2	129	69119
3	178	71389
4	208	66356
5	237	62963
6	267	60940
7	297	59264
8	328	58071
9	356	56718
10	386	55870
11	417	55205
12	448	54736
13	478	54179
14	509	53857
15	539	53410
16	570	53147
17	599	52708
18	629	52352
19	661	52244
20	691	52027
21	719	51622
22	748	51351
23	778	51111
24	807	50849
25	836	50645
26	865	50432
27	895	50258
28	923	50052
29	953	49892
30	981	49686
31	1008	49399
32	1031	48961
33	1060	48844
34	1089	48729
35	1116	48515
36	1144	48330
37	1168	48049
38	1195	47863
39	1227	47878
40	1250	47554
41	1276	47339
42	1302	47158
43	1324	46855
44	1351	46717
45	1379	46604
46	1405	46446
47	1431	46295
48	1457	46119
49	1483	45991
50	1510	45881
51	1537	45771
52	1563	45645
53	1589	45516
54	1613	45316
55	1638	45170
56	1664	45066
57	1690	44949
58	1716	44822
59	1740	44667
60	1768	44616
61	1795	44528
62	1834	44763
63	1857	44578
64	1881	44422
65	1910	44394
66	1936	44303
67	1958	44133
68	1984	44040
69	2012	43979
70	2037	43884
71	2065	43843
72	2086	43641
73	2113	43583
74	2141	43534
75	2168	43488
76	2195	43429
77	2223	43383
78	2251	43350
79	2278	43290
80	2307	43270
81	2336	43252
82	2364	43218
83	2393	43201
84	2422	43185
85	2451	43158
86	2481	43162
87	2508	43096
88	2537	43074
89	2567	43069
90	2596	43049
91	2625	43031
92	2655	43037
93	2685	43022
94	2716	43031
95	2745	43009
96	2773	42975
97	2810	43080
98	2842	43101
99	2874	43121
100	2911	43207
101	2947	43282
102	2981	43339
103	3013	43352
104	3041	43303
105	3068	43252
106	3094	43175
107	3121	43118
108	3144	43016
109	3170	42952
110	3196	42875
111	3222	42807
112	3248	42745
113	3285	42823
114	3317	42836
115	3339	42727
116	3369	42708
117	3391	42599
118	3420	42573
119	3451	42571
120	3478	42521
121	3504	42457
122	3530	42395
123	3554	42309
124	3579	42240
125	3606	42186
126	3632	42130
127	3658	42075
128	3687	42045
129	3713	41988
130	3744	41990
131	3772	41950
132	3798	41897
133	3825	41846
134	3851	41793
135	3862	41579
136	3885	41491
137	3915	41476
138	3941	41424
139	3968	41389
140	3989	41282
141	4016	41244
142	4040	41172
143	4064	41100
144	4087	41012
145	4110	40939
146	4134	40870
147	4157	40790
148	4183	40737
149	4212	40724
150	4236	40653
151	4254	40531
152	4282	40506
153	4308	40458
154	4332	40391
155	4358	40339
156	4383	40292
157	4410	40255
158	4434	40192
159	4463	40169
160	4490	40133
161	4517	40102
162	4539	40022
163	4567	39997
164	4591	39928
165	4617	39891
166	4643	39849
167	4672	39827
168	4695	39759
169	4721	39712
170	4743	39638
171	4765	39564
172	4788	39502
173	4819	39496
174	4842	39433
175	4864	39361
176	4890	39319
177	4917	39284
178	4941	39232
179	4962	39151
180	4986	39092
181	5014	39071
182	5040	39032
183	5061	38954
184	5077	38833
185	5102	38786
186	5125	38725
187	5147	38662
188	5172	38614
189	5201	38601
190	5222	38523
191	5248	38489
192	5273	38445
193	5296	38389
194	5320	38335
195	5365	38434
196	5401	38465
197	5426	38425
198	5450	38371
199	5476	38335
200	5509	38347
201	5541	38354
202	5573	38355
203	5609	38386
204	5640	38384
205	5670	38371
206	5696	38332
207	5731	38355
208	5765	38371
209	5792	38341
210	5821	38320
211	5848	38294
212	5879	38284
213	5903	38232
214	5929	38199
215	5961	38200
216	5990	38179
217	6023	38185
218	6036	38068
219	6069	38071
220	6103	38084
221	6137	38098
222	6167	38085
223	6199	38080
224	6224	38040
225	6255	38033
226	6283	38005
227	6288	37843
228	6318	37825
229	6345	37798
230	6371	37759
231	6394	37707
232	6420	37671
233	6442	37607
234	6472	37597
235	6504	37592
236	6531	37563
237	6556	37523
238	6583	37491
239	6609	37456
240	6634	37410
241	6658	37365
242	6687	37343
243	6711	37297
244	6735	37248
245	6759	37206
246	6786	37174
247	6810	37129
248	6837	37099
249	6862	37058
250	6887	37018
251	6915	36989
252	6942	36962
253	6968	36929
254	6997	36908
255	7022	36867
256	7047	36830
257	7076	36806
258	7104	36786
259	7133	36765
260	7154	36705
261	7183	36684
262	7209	36648
263	7233	36607
264	7261	36582
265	7289	36559
266	7319	36540
267	7346	36513
268	7370	36470
269	7391	36412
270	7417	36376
271	7442	36336
272	7467	36298
273	7494	36269
274	7510	36188
275	7534	36146
276	7559	36104
277	7585	36073
278	7611	36039
279	7636	36002
280	7662	35968
281	7689	35939
282	7714	35901
283	7740	35866
284	7760	35808
285	7786	35776
286	7811	35736
287	7835	35696
288	7859	35653
289	7886	35625
290	7912	35594
291	7937	35555
292	7963	35524
293	7988	35484
294	8015	35458
295	8040	35422
296	8067	35394
297	8090	35348
298	8115	35312
299	8139	35270
300	8162	35228
301	8187	35190
302	8212	35155
303	8238	35121
304	8264	35091
305	8288	35049
306	8313	35014
307	8339	34983
308	8363	34944
309	8391	34918
310	8422	34907
311	8447	34872
312	8467	34816
313	8495	34793
314	8521	34760
315	8550	34744
316	8576	34711
317	8604	34688
318	8628	34650
319	8653	34615
320	8679	34582
321	8707	34558
322	8732	34525
323	8758	34491
324	8777	34436
325	8803	34404
326	8829	34374
327	8855	34343
328	8880	34309
329	8903	34263
330	8929	34233
331	8949	34182
332	8973	34144
333	8987	34067
334	9012	34033
335	9040	34009
336	9066	33978
337	9091	33944
338	9116	33909
339	9142	33881
340	9169	33855
341	9195	33825
342	9220	33792
343	9246	33761
344	9272	33729
345	9296	33693
346	9301	33587
347	9327	33557
348	9352	33523
349	9378	33495
350	9404	33466
351	9431	33437
352	9455	33401
353	9481	33373
354	9506	33339
355	9526	33290
356	9554	33268
357	9582	33244
358	9611	33223
359	9639	33201
360	9665	33172
361	9690	33141
362	9716	33110
363	9741	33078
364	9765	33042
365	9790	33008
366	9816	32980
367	9838	32937
368	9865	32910
369	9890	32878
370	9915	32846
371	9940	32815
372	9967	32790
373	9991	32752
374	10002	32674
375	10030	32651
376	10057	32626
377	10084	32601
378	10109	32568
379	10138	32549
380	10164	32521
381	10196	32511
382	10222	32482
383	10246	32448
384	10276	32431
385	10308	32422
386	10336	32397
387	10362	32368
388	10389	32345
389	10417	32322
390	10442	32290
391	10466	32255
392	10493	32227
393	10497	32132
394	10521	32098
395	10548	32070
396	10571	32033
397	10595	32000
398	10622	31973
399	10649	31947
400	10674	31918
401	10700	31888
402	10728	31864
403	10753	31833
404	10757	31741
405	10773	31684
406	10800	31659
407	10825	31628
408	10852	31602
409	10857	31512
410	10884	31487
411	10910	31459
412	10936	31431
