iter	RMSE
0	0.7464904176
1	0.7462207398
2	0.7459555144
3	0.7457025804
4	0.74547117
5	0.7452313827
6	0.7450204848
7	0.7448104017
8	0.7445883771
9	0.7443916975
10	0.7441769053
11	0.7439809609
12	0.7437929941
13	0.7435904139
14	0.7434085338
15	0.7432421093
16	0.743070454
17	0.7428991627
18	0.7427261092
19	0.7425661611
20	0.7423987811
21	0.742248612
22	0.7420969691
23	0.7419710371
24	0.7418180334
25	0.7416674927
26	0.7415185165
27	0.7413851118
28	0.7412406486
29	0.7411066676
30	0.7409737741
31	0.7408607278
32	0.7407289736
33	0.7406201521
34	0.7405066266
35	0.7403542264
36	0.7402406351
37	0.7401263221
38	0.7400162167
39	0.7398989357
40	0.739783451
41	0.7396706562
42	0.739587198
43	0.7394974288
44	0.7394050018
45	0.7393011646
46	0.7392067002
47	0.7391180414
48	0.7390202297
49	0.7389276324
50	0.7388350135
51	0.7387435913
52	0.7386611289
53	0.7385662478
54	0.738473889
55	0.7383934176
56	0.7383082483
57	0.7382167031
58	0.7381459975
59	0.7380621599
60	0.7379759471
61	0.737889905
62	0.7378058816
63	0.7377266485
64	0.7376508949
65	0.7375517826
66	0.7374768641
67	0.7373859875
68	0.7372930889
69	0.7372225197
70	0.7371436062
71	0.737064572
72	0.7370000282
73	0.7369085246
74	0.7368468799
75	0.736788327
76	0.7367253627
77	0.7366630762
78	0.7365912494
79	0.7365106558
80	0.7364412482
81	0.7363720426
82	0.7363152808
83	0.736235553
84	0.7361770034
85	0.7361072018
86	0.7360571351
87	0.7360022433
88	0.7359302366
89	0.7358804548
90	0.7358258438
91	0.7357752499
92	0.7357206075
93	0.7356554755
94	0.7355859736
95	0.7355320547
96	0.7354799944
97	0.7354255761
98	0.7353431552
99	0.7352985955
100	0.7352281129
101	0.7351456985
102	0.7350782816
103	0.7350352039
104	0.7349869802
105	0.7349359922
106	0.7348905215
107	0.7348385508
108	0.7347849271
109	0.7347368214
110	0.7346828088
111	0.7346332957
112	0.7345875506
113	0.7345380253
114	0.7344920297
115	0.7344367651
116	0.7343879635
117	0.7343372248
118	0.7342909045
119	0.7342416667
120	0.7341967244
121	0.7341312544
122	0.7340862712
123	0.7340411658
