iter	Passed	Remaining
0	106	170791
1	145	116282
2	182	97339
3	225	90130
4	265	84828
5	307	81616
6	347	79181
7	388	77260
8	426	75455
9	465	74008
10	507	73254
11	544	72093
12	583	71266
13	621	70417
14	659	69721
15	695	68850
16	734	68411
17	775	68116
18	814	67805
19	853	67415
20	893	67170
21	933	66948
22	972	66667
23	1007	66157
24	1043	65754
25	1082	65549
26	1122	65423
27	1163	65298
28	1200	65034
29	1238	64814
30	1277	64636
31	1315	64462
32	1355	64370
33	1393	64164
34	1430	63967
35	1469	63823
36	1506	63646
37	1545	63514
38	1581	63311
39	1620	63195
40	1657	63032
41	1697	62953
42	1733	62776
43	1770	62613
44	1810	62546
45	1851	62539
46	1890	62452
47	1930	62410
48	1969	62325
49	2004	62143
50	2043	62060
51	2081	61970
52	2118	61833
53	2155	61711
54	2194	61648
55	2235	61635
56	2273	61536
57	2312	61471
58	2348	61337
59	2386	61257
60	2425	61198
61	2464	61136
62	2502	61062
63	2544	61076
64	2583	61019
65	2621	60935
66	2661	60886
67	2700	60832
68	2737	60736
69	2773	60629
70	2811	60543
71	2847	60427
72	2883	60314
73	2922	60276
74	2959	60185
75	2997	60115
76	3034	60012
77	3073	59974
78	3110	59885
79	3148	59826
80	3185	59737
81	3223	59682
82	3262	59631
83	3302	59596
84	3340	59539
85	3376	59444
86	3415	59398
87	3452	59313
88	3489	59249
89	3525	59142
90	3561	59065
91	3596	58957
92	3634	58895
93	3675	58887
94	3716	58871
95	3755	58833
96	3797	58841
97	3839	58852
98	3875	58762
99	3912	58682
100	3954	58694
101	3995	58684
102	4036	58672
103	4075	58629
104	4115	58599
105	4157	58594
106	4195	58535
107	4235	58512
108	4275	58478
109	4315	58461
110	4357	58451
111	4397	58425
112	4436	58379
113	4475	58335
114	4512	58267
115	4549	58204
116	4588	58163
117	4629	58141
118	4668	58098
119	4707	58056
120	4745	58009
121	4785	57977
122	4824	57933
123	4865	57918
124	4903	57858
125	4941	57812
126	4978	57739
127	5016	57689
128	5055	57643
129	5092	57581
130	5129	57515
131	5164	57435
132	5203	57399
133	5242	57355
134	5282	57329
135	5321	57284
136	5360	57238
137	5399	57199
138	5440	57187
139	5477	57123
140	5516	57081
141	5558	57076
142	5600	57061
143	5642	57050
144	5682	57024
145	5722	56989
146	5758	56914
147	5795	56859
148	5828	56755
149	5863	56680
150	5901	56633
151	5938	56567
152	5975	56514
153	6013	56467
154	6056	56465
155	6097	56440
156	6142	56453
157	6181	56415
158	6220	56379
159	6257	56318
160	6294	56259
161	6332	56206
162	6368	56140
163	6404	56074
164	6443	56043
165	6483	56003
166	6518	55935
167	6556	55885
168	6593	55828
169	6632	55792
170	6668	55730
171	6706	55682
172	6744	55634
173	6783	55595
174	6820	55538
175	6859	55496
176	6892	55415
177	6929	55358
178	6973	55358
179	7018	55369
180	7055	55315
181	7093	55268
182	7131	55222
183	7177	55237
184	7211	55157
